record:2180	sides:852	offsets:1166	T:1904
09:48:08.409426	61_181	453	0	0	4	300453	1	
09:48:08.914623	71_187	454	0	0	4	300454	1	
09:48:08.914759	61_182	455	0	0	4	300455	1	
09:48:09.921755	61_183	456	1	1	4	300456	1	
09:48:10.423415	41_286	457	1	1	4	300457	2	
09:48:10.924264	71_189	458	1	1	4	300458	1	
09:48:12.343339	888_8	459	0	0	3	300459	
09:48:12.849036	26_119	460	0	0	4	300460	1	
09:48:13.869479	71_191	461	0	0	4	300461	1	
09:48:15.906959	26_120	462	1	3	4	300462	2	
09:48:16.916042	26_121	463	0	0	4	300463	1	
09:48:19.347918	26_122	464	1	3	4	300464	2	
09:48:19.850524	71_193	465	1	1	4	300465	1	
09:48:23.919768	51_83	466	0	0	4	300466	1	
09:48:25.870088	51_84	467	1	1	4	300467	1	
09:48:27.897624	41_291	468	0	0	4	300468	1	
09:48:29.334711	41_292	469	1	1	4	300469	1	
09:48:34.920855	61_189	470	0	0	4	300470	1	
09:48:35.350467	61_190	471	0	0	4	300471	1	
09:48:35.857826	61_191	472	0	0	4	300472	1	
09:48:38.399363	61_192	473	1	1	4	300473	3	
09:48:45.417716	71_198	474	0	0	3	300474	
09:48:45.835223	61_194	475	0	0	3	300475	
09:48:52.388893	61_195	476	0	0	4	300476	1	
09:48:53.834431	61_196	477	0	0	3	300477	
09:48:57.374488	61_198	478	1	1	4	300478	1	
09:48:58.403960	61_199	479	0	0	4	300479	1	
09:49:01.422614	61_200	480	1	1	4	300480	1	
09:49:01.842287	71_200	481	0	0	4	300481	1	
09:49:03.884579	71_201	482	1	1	4	300482	1	
09:49:06.336845	71_202	483	0	0	4	300483	1	
09:49:06.336860	26_125	484	0	0	4	300484	2	
09:49:07.850878	71_203	485	1	1	4	300485	1	
09:49:07.850899	26_126	486	1	3	4	300486	1	
09:49:08.367501	26_126	487	1	3	1	
09:49:10.375411	61_204	488	0	0	4	300487	1	
09:49:11.389185	61_206	489	0	0	4	300488	1	
09:49:12.402567	41_303	490	0	0	4	300489	1	
09:49:12.402659	61_207	491	0	0	4	300490	1	
09:49:12.915132	71_205	492	0	0	4	300491	1	
09:49:12.915218	61_208	493	0	0	4	300492	1	
09:49:13.830291	51_86	494	0	0	4	300493	1	
09:49:13.830300	41_306	495	0	0	4	300494	1	
09:49:13.830305	26_128	496	0	0	4	300495	1	
09:49:14.350200	71_206	497	0	0	4	300496	1	
09:49:14.867002	61_209	498	1	1	4	300497	1	
09:49:16.831822	41_307	499	1	1	4	300498	1	
09:49:17.359792	71_207	500	1	1	4	300499	1	
09:49:18.386580	51_87	501	1	1	4	300501	1	
09:49:18.386750	61_211	502	0	0	3	300502	
09:49:18.896170	71_210	503	0	0	3	300503	
09:49:19.413079	26_130	504	1	3	4	300504	1	
09:49:23.925898	41_309	505	0	0	4	300505	1	
09:49:24.845057	71_212	506	0	0	3	300506	
09:49:24.845092	41_310	507	1	1	4	300507	1	
09:49:25.365750	71_213	508	0	0	4	300508	1	
09:49:28.342947	71_215	509	0	0	4	300509	1	
09:49:30.409649	71_216	510	1	1	4	300510	1	
09:49:31.880026	71_217	511	0	0	4	300511	1	
09:49:32.393422	51_90	512	0	0	4	300512	1	
09:49:32.393522	41_311	513	0	0	4	300513	1	
09:49:32.912904	71_219	514	0	0	4	300514	1	
09:49:33.855753	71_221	515	1	1	4	300515	1	
09:49:34.875637	71_223	516	0	0	4	300516	1	
09:49:35.387442	41_313	517	1	1	4	300517	1	
09:49:35.387448	51_91	518	1	1	4	300518	1	
09:49:37.855498	41_316	519	0	0	4	300519	1	
